Postcode,State,Fuel Type,Registrations as at 31 January 2022,Total personal income (weekly),Age,Population,Income_Midpoint,Age_Midpoint
4217,QLD,Battery Electric Vehicle,185, Negative/Nil income, 25-34 years,334,0,29.5
4217,QLD,Battery Electric Vehicle,185, $150-$299, 85 years and over,53,224.5,85+
4217,QLD,Battery Electric Vehicle,185, Total, 25-34 years,7435,0,29.5
4217,QLD,Battery Electric Vehicle,185," $1,500-$1,749", 45-54 years,365,1624.5,49.5
4217,QLD,Battery Electric Vehicle,185," $1,500-$1,749", 85 years and over,15,1624.5,85+
4217,QLD,Battery Electric Vehicle,185, $500-$649, 65-74 years,621,574.5,69.5
4217,QLD,Battery Electric Vehicle,185, $400-$499, 25-34 years,362,449.5,29.5
4217,QLD,Battery Electric Vehicle,185, $500-$649, 45-54 years,354,574.5,49.5
4217,QLD,Battery Electric Vehicle,185, $800-$999, 35-44 years,609,899.5,39.5
4217,QLD,Battery Electric Vehicle,185, $150-$299, 35-44 years,118,224.5,39.5
4217,QLD,Battery Electric Vehicle,185," $2,000-$2,999", 55-64 years,486,2499.5,59.5
4217,QLD,Battery Electric Vehicle,185, Total, 15-19 years,1942,0,17.0
4217,QLD,Battery Electric Vehicle,185," $1,000-$1,249", 85 years and over,31,1124.5,85+
4217,QLD,Battery Electric Vehicle,185," $1,000-$1,249", 20-24 years,287,1124.5,22.0
4217,QLD,Battery Electric Vehicle,185," $1,750-$1,999", 15-19 years,3,1874.5,17.0
4217,QLD,Battery Electric Vehicle,185, $300-$399, 75-84 years,506,349.5,79.5
4217,QLD,Battery Electric Vehicle,185," $1,250-$1,499", 55-64 years,401,1374.5,59.5
4217,QLD,Battery Electric Vehicle,185, $500-$649, 25-34 years,694,574.5,29.5
4217,QLD,Battery Electric Vehicle,185," $3,500 or more", 65-74 years,225,3500+,69.5
4217,QLD,Battery Electric Vehicle,185," $1,750-$1,999", 75-84 years,83,1874.5,79.5
4217,QLD,Battery Electric Vehicle,185, $650-$799, 65-74 years,414,724.5,69.5
