Postcode,State,Fuel Type,Registrations as at 31 January 2021,Registrations as at 31 January 2022,Registrations as at 31 January 2023
2103,NSW,Internal Combustion Engine,8270,8475,8403
2103,NSW,Battery Electric Vehicle,11,36,62
2103,NSW,Hydrogen Cell Vehicle,0,0,0
2103,NSW,Hybrid,99,119,157
2104,NSW,Internal Combustion Engine,2896,2871,2857
2104,NSW,Battery Electric Vehicle,14,22,42
2104,NSW,Hydrogen Cell Vehicle,0,0,0
2104,NSW,Hybrid,42,49,55
2105,NSW,Internal Combustion Engine,1490,1484,1473
2105,NSW,Battery Electric Vehicle,4,10,24
2105,NSW,Hydrogen Cell Vehicle,0,0,0
2105,NSW,Hybrid,23,27,39
2106,NSW,Internal Combustion Engine,7201,7118,7007
2106,NSW,Battery Electric Vehicle,13,32,49
2106,NSW,Hydrogen Cell Vehicle,0,0,0
2106,NSW,Hybrid,89,122,134
2107,NSW,Internal Combustion Engine,11591,11355,11235
2107,NSW,Battery Electric Vehicle,35,59,118
2107,NSW,Hydrogen Cell Vehicle,0,0,0
2107,NSW,Hybrid,121,178,211
2108,NSW,Internal Combustion Engine,1470,1486,1439
2108,NSW,Battery Electric Vehicle,7,18,26
2108,NSW,Hydrogen Cell Vehicle,0,0,0
2108,NSW,Hybrid,18,29,30
2110,NSW,Internal Combustion Engine,6295,6229,6092
2110,NSW,Battery Electric Vehicle,36,65,127
2110,NSW,Hydrogen Cell Vehicle,0,0,0
2110,NSW,Hybrid,113,139,167
2111,NSW,Internal Combustion Engine,10402,10511,10487
2111,NSW,Battery Electric Vehicle,21,38,86
2111,NSW,Hydrogen Cell Vehicle,0,0,0
2111,NSW,Hybrid,205,257,318
2112,NSW,Internal Combustion Engine,21506,21653,21904
2112,NSW,Battery Electric Vehicle,37,75,161
2112,NSW,Hydrogen Cell Vehicle,0,0,0
2112,NSW,Hybrid,454,584,720
2113,NSW,Internal Combustion Engine,18707,19316,19084
2113,NSW,Battery Electric Vehicle,54,180,420
2113,NSW,Hydrogen Cell Vehicle,0,0,0
2113,NSW,Hybrid,490,671,1017
2114,NSW,Internal Combustion Engine,13629,13844,13969
2114,NSW,Battery Electric Vehicle,14,25,71
2114,NSW,Hydrogen Cell Vehicle,0,0,0
2114,NSW,Hybrid,309,391,459
2115,NSW,Internal Combustion Engine,7324,7287,7378
2115,NSW,Battery Electric Vehicle,8,18,52
2115,NSW,Hydrogen Cell Vehicle,0,0,0
2115,NSW,Hybrid,135,168,211
2116,NSW,Internal Combustion Engine,7448,7383,7374
2116,NSW,Battery Electric Vehicle,7,13,26
2116,NSW,Hydrogen Cell Vehicle,0,0,0
2116,NSW,Hybrid,209,321,359
2117,NSW,Internal Combustion Engine,12932,12743,12705
2117,NSW,Battery Electric Vehicle,7,29,80
2117,NSW,Hydrogen Cell Vehicle,0,0,0
2117,NSW,Hybrid,277,347,415
2118,NSW,Internal Combustion Engine,15818,15728,15779
2118,NSW,Battery Electric Vehicle,21,42,123
2118,NSW,Hydrogen Cell Vehicle,0,0,0
2118,NSW,Hybrid,515,608,721
2119,NSW,Internal Combustion Engine,7485,7444,7339
2119,NSW,Battery Electric Vehicle,32,56,105
2119,NSW,Hydrogen Cell Vehicle,0,0,0
2119,NSW,Hybrid,173,203,269
2120,NSW,Internal Combustion Engine,13998,13788,13698
2120,NSW,Battery Electric Vehicle,25,45,99
2120,NSW,Hydrogen Cell Vehicle,0,0,0
2120,NSW,Hybrid,242,313,409
2121,NSW,Internal Combustion Engine,17797,17781,17926
2121,NSW,Battery Electric Vehicle,38,57,160
2121,NSW,Hydrogen Cell Vehicle,0,0,0
2121,NSW,Hybrid,455,569,704
2122,NSW,Internal Combustion Engine,16899,16879,16863
2122,NSW,Battery Electric Vehicle,18,34,114
2122,NSW,Hydrogen Cell Vehicle,0,0,0
2122,NSW,Hybrid,408,477,583
2125,NSW,Internal Combustion Engine,11447,11208,11009
2125,NSW,Battery Electric Vehicle,15,37,108
2125,NSW,Hydrogen Cell Vehicle,0,0,0
2125,NSW,Hybrid,259,302,365
2126,NSW,Internal Combustion Engine,11585,11519,11321
2126,NSW,Battery Electric Vehicle,14,51,113
2126,NSW,Hydrogen Cell Vehicle,0,0,0
2126,NSW,Hybrid,287,345,409
2127,NSW,Internal Combustion Engine,13205,13611,13806
2127,NSW,Battery Electric Vehicle,14,48,125
2127,NSW,Hydrogen Cell Vehicle,0,0,0
2127,NSW,Hybrid,467,594,759
2128,NSW,Internal Combustion Engine,4554,4726,4866
2128,NSW,Battery Electric Vehicle,5,11,14
2128,NSW,Hydrogen Cell Vehicle,0,0,0
2128,NSW,Hybrid,104,164,202
2130,NSW,Internal Combustion Engine,3587,3528,3583
2130,NSW,Battery Electric Vehicle,12,19,33
2130,NSW,Hydrogen Cell Vehicle,0,0,0
2130,NSW,Hybrid,72,96,112
